Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,18.5,54.25,-90.0,top
C2,100nF,C_0402_1005Metric,32.1,16.2,0.0,top
C3,100nF,C_0402_1005Metric,19.0,21.0,180.0,top
C4,100nF,C_0402_1005Metric,20.98,21.0,180.0,top
C5,100nF,C_0402_1005Metric,22.98,21.0,180.0,top
C6,100nF,C_0402_1005Metric,27.98,28.5,0.0,top
C7,100nF,C_0402_1005Metric,32.9,10.3,0.0,top
C8,2.2uF,C_0402_1005Metric,25.0,52.27,-90.0,top
C9,100nF,C_0402_1005Metric,24.5,31.0,0.0,top
C10,2.2uF,C_0402_1005Metric,34.0,51.9,0.0,top
C11,22uF,C_0603_1608Metric,16.3,27.2,180.0,top
C12,100nF,C_0402_1005Metric,17.0,28.5,180.0,top
C13,47pF,C_0402_1005Metric,17.0,29.5,180.0,top
C14,22uF,C_0603_1608Metric,14.2,32.0,-90.0,top
C15,8pF,C_0402_1005Metric,30.25,31.0,90.0,top
C16,100nF,C_0402_1005Metric,28.25,26.5,0.0,top
C17,100nF,C_0402_1005Metric,30.1,16.05,180.0,top
C18,10uF,C_0402_1005Metric,30.1,15.0,180.0,top
C19,100nF,C_0402_1005Metric,30.1,10.85,0.0,top
C20,22uF,C_0603_1608Metric,30.4,9.6,0.0,top
C21,100nF,C_0402_1005Metric,30.1,11.8,0.0,top
C22,4.7uF,C_0402_1005Metric,30.1,12.75,0.0,top
C23,8pF,C_0402_1005Metric,28.02,33.5,0.0,top
C24,100nF,C_0402_1005Metric,28.27,25.5,0.0,top
C25,22uF,C_0603_1608Metric,30.4,8.0,0.0,top
D1,PRTR5V0U2X,BF994S,22.500343,54.0,90.0,top
D2,RED,LED_0402_1005Metric,5.25,31.75,0.0,top
D3,AMBER,LED_0402_1005Metric,28.005,24.25,0.0,top
D4,GREEN,LED_0402_1005Metric,28.0,23.25,0.0,top
D6,RED,LED_0402_1005Metric,34.0,50.8,180.0,top
D7,NSR05F40NXT5G,D_0402_1005Metric,44.0,21.0,-90.0,top
F1,500mA,Fuse_0402_1005Metric,26.0,55.25,90.0,top
FB1,~,L_0402_1005Metric,25.5,53.75,180.0,top
IC1,LPC5526JEV98,BGA98C50P13X13_700X700X97N,22.5,26.0,180.0,top
J1,G-Switch GT-USB-7010ASV,GCT_USB4105-GF-A,22.5,62.0,180.0,top
J2,C145962,JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical,11.75,22.75,90.0,top
J3,C2935905,PinHeader_1x06_P2.00mm_Vertical,42.75,18.5,0.0,top
J4,Conn_ARM_JTAG_SWD_10,PinHeader_2x05_P1.27mm_Vertical_SMD,35.75,5.5,90.0,top
L1,4u7H,R_0603_1608Metric,15.9,32.0,90.0,top
R1,100k,R_0402_1005Metric,17.5,54.25,-90.0,top
R2,5.1k,R_0402_1005Metric,25.0,55.25,90.0,top
R3,5.1k,R_0402_1005Metric,19.5,54.25,90.0,top
R4,10k,R_0402_1005Metric,7.25,31.75,180.0,top
R5,10k,R_0402_1005Metric,30.01,24.25,180.0,top
R6,10k,R_0402_1005Metric,30.0,23.25,180.0,top
R7,13+-1%,R_0402_1005Metric,14.75,7.7,0.0,top
R8,10k,R_0402_1005Metric,14.75,13.5,0.0,top
R13,10k,R_0402_1005Metric,31.9,50.8,0.0,top
SW4,PTS810,SW_SPST_B3U-1000P,36.8,18.65,0.0,top
U2,MIC5365-3.3YC5-TR,SOT-23-5,28.8,52.1,0.0,top
U3,Texas Instruments TLV70028DDCR,SOT-23-5,32.9,12.9,-90.0,top
Y1,Seiko Epson Q22FA12800400,Seiko Epson Q22FA12800400,28.4,31.6,90.0,top
